code;name;categories;price;stock;description;image
2191-P181057;Engine Air Filter (Round);Engine Filtration;136.49;20;Genuine Mack engine air filter designed for the Pioneer truck. This round filter has a 12.74'inch outside diameter and 17.03'inch length and delivers reliable, high-performance filtration to keep the engine breathing clean air while fitting seamlessly in the air cleaner housing.;
22618326;Multi-Purpose Sealant;Sealant, Maintenance;108.49;15;Versatile OEM sealant formulated to seal and protect various parts of the vehicle. It withstands oil and grease and helps prevent contaminants from damaging gaskets and joints, making it ideal for general truck maintenance.;
2191-P600116;Air Cleaner Cover Assembly;Air Intake, Engine Components;44.99;18;Protective air cleaner cover assembly that secures the air intake housing on the Pioneer truck. It shields the intake from dust and road debris and maintains optimal airflow to the engine.;
85066;Rear/Drive Shock Absorber;Suspension, Chassis;180.00;10;Heavy-duty rear/drive shock absorber designed for Mack CH/CX/CXN models. Built to withstand rough road conditions, it provides exceptional damping to improve vehicle stability and comfort and reduce body roll.;
2141-2048;Pivot Bushing;Suspension, Chassis;6.82;30;Durable pivot bushing used in the suspension beam. Its void design allows flex without rotation to balance ride stability and control by managing horizontal, vertical and roll forces.;
334-345;Torque Rod Bolt Assembly;Suspension, Hardware;35.00;25;Premium grade axle torque rod bolt assembly for medium- and heavy-duty suspensions. Precisely machined threads ensure proper fit, strength and long-term durability in the torque rod connection.;
NYL-7/8-14;"Nyloc Nut 7/8""-14";Hardware, Fasteners;6.00;100;Economical nylon lock nut with a nylon insert that deforms against the bolt threads to create friction and prevent loosening. Suitable up to 120 °C and intended for single-use applications.;
NYL-1-1/4;"Nyloc Nut 1-1/4""";Hardware, Fasteners;6.05;80;Large nylon lock nut featuring a nylon collar that provides reliable locking action without need for additional hardware. Ideal for heavy-duty fastenings;
NYL-1-1/2;"Nyloc Nut 1-1/2""";Hardware, Fasteners;7.48;60;Extra-large nylon lock nut with integrated nylon insert to resist vibration and prevent backing off. Provides secure locking for high-load applications.;
TF21-555;"Brass Drain Cock 1/8"" NPT";Air System, Hardware;1.28;50;Brass drain cock with 1/8'inch NPT threads designed to drain moisture and condensation from air lines and pneumatic systems. Its corrosion-resistant construction ensures long service life.;
KIT8046;Camshaft Repair Kit;Engine, Maintenance;13.19;15;Complete camshaft repair kit for Meritor 12-1/4 Q series brakes. Includes washers, lock rings and bushings to restore proper camshaft function and extend service life.;
TARP-BM-7-6x32;"Black Mesh Dump Truck Tarp 7 6"" Ã— 32 ";Body Equipment, Tarping System;116.09;12;Heavy duty PVC coated polyester mesh tarp for dump bodies. Its flow through weave prevents wind flap and tearing, and double-needle lock stitching with reinforced pocket ensures long-lasting performance;
TARP-ASPH-6x32;Asphalt Mesh Tarp 6  Ã— 32 ;Body Equipment, Tarping System;115.00;10;Durable mesh tarp sized for asphalt haulers. Made from PVC-coated polyester fibers with a flow-through weave and reinforced seams, it provides reliable coverage of loads while allowing air flow.;
TARP-HD-8x12;Heavy-Duty Mesh Tarp 8  Ã— 12 ;Body Equipment, Tarping System;118.00;14;Universal-fit mesh tarp made of PVC-coated polyester for covering bulk materials. It features double-needle stitching, reinforced webbing and a 6-inch pocket for roller bars;
EPDM21;"EPDM Rubber Tarp Strap 21""";Body Equipment, Hardware;1.50;200;21-inch EPDM rubber tarp strap with crimped S-hooks. The tear-drop ends molded from ozone-resistant EPDM compound withstand heat and UV exposure, providing long-lasting tension for tarps.;
EPDM31;"EPDM Rubber Tarp Strap 31""";Body Equipment, Hardware;2.00;150;31-inch heavy-duty EPDM tarp strap featuring pre-installed S-hooks. Its ozone-resistant material and rugged construction ensure dependable hold for securing tarps of varying sizes.;
EPDM41;"EPDM Rubber Tarp Strap 41""";Body Equipment, Hardware;2.50;120;Extra-long 41-inch EPDM tarp strap designed for large loads. Durable EPDM compound resists cracking and UV damage while the S-hooks provide quick attachment.;
BEARING-CUP-1;Tapered Roller Bearing Cup (Outer);Drivetrain, Bearings;15.00;40;Outer ring of a tapered roller bearing used with a cone assembly. The angled raceway holds the rollers and ensures smooth rolling motion and proper load distribution in hubs and drivelines.;
BEARING-CUP-2;Tapered Roller Bearing Cup (Inner);Drivetrain, Bearings;14.00;30;Inner bearing cup for tapered roller assemblies. Its precise geometry aligns rollers for low-friction operation and supports combined radial and axial loads.;
RETAIN-RING-INT;Internal Retaining Ring;Hardware, Fasteners;0.96;200;Internal retaining ring that fits into a groove in a housing to hold components in place. It creates a shoulder to absorb vibration and secure parts when other fastening methods are impractical.;
RETAIN-RING-EXT;External Retaining Ring;Hardware, Fasteners;1.10;180;External snap ring designed to fit around a shaft and seat in a groove, forming a shoulder that retains gears or bearings while absorbing vibration.;
BALL-JOINT-UP;Upper Ball Joint;Suspension, Steering;45.00;20;Forged steel ball joint that connects the control arm to the steering knuckle. The metal ball rotates inside a greased socket and is protected by a boot, allowing smooth wheel movement and maintaining vehicle stability.;
BALL-JOINT-LOW;Lower Ball Joint;Suspension, Steering;50.00;20;Heavy-duty lower ball joint that serves as the pivot point between the wheel hub and axle. Its greased ball-and-socket design provides smooth steering and suspension articulation while withstanding high loads.;
POWE-RATED-15411;PoweRated V-Belt 15411;Engine, Belts;8.50;50;High-performance V-belt featuring bareback construction for smooth clutching and aramid tensile cords for limited stretch and high strength. Delivers more horsepower and longer service life than conventional belts and resists oil and heat.;
POWE-RATED-15413;PoweRated V-Belt 15413;Engine, Belts;8.75;45;Aramid-reinforced V-belt designed for outdoor power and industrial applications. Its bareback construction and low cord positioning provide extreme flexibility, delivering longer belt life and higher horsepower capacity.;
SPROCKET-40;#40 Chain Sprocket;Drivetrain, Transmission;20.00;25;Toothed wheel machined to mesh with a #40 chain. Positive engagement between the chain rollers and sprocket teeth transmits power between shafts without slipping, delivering efficient torque transfer.;
SPROCKET-50;#50 Chain Sprocket;Drivetrain, Transmission;25.00;20;High-strength sprocket for #50 chains. Each tooth pockets a chain roller, pulling the chain forward in sync to provide smooth, slip-free power transmission.;
GEAR-SPUR-20T;Spur Gear 20-Tooth;Drivetrain, Transmission;18.00;25;Straight-tooth cylindrical gear used to transmit power between parallel shafts. Spur gears are simple, economical and do not create axial thrust, making them common in truck transmissions.;
GEAR-HEL-30T;Helical Gear 30-Tooth;Drivetrain, Transmission;22.00;20;Helical gear with angled tooth profile for smoother, quieter operation and higher load capacity than spur gears. It transmits power between parallel shafts but generates axial thrust that must be supported.;
GEAR-RACK;"Gear Rack 40""";Drivetrain, Steering;26.00;15;40-inch gear rack consisting of linear teeth used with a pinion to convert rotational motion into linear movement. Commonly used in steering systems and industrial machinery.;
MAN-WIND-UP;Manual Tarp Wind-Up Unit;Body Equipment, Tarping System;131.52;8;Ground-operated tarp wind-up system with an aluminum telescopic roller bar adjustable from 60 to 102 inches. Features a manual ratcheting mechanism, mounting plates and crank handle for easy installation and operation.;
ROLLER-BAR-ADJ;Adjustable Roller Bar;Body Equipment, Tarping System;131.52;9;Telescopic aluminum roller bar designed for dump truck tarp systems. Adjustable width and rugged construction allow smooth rolling of tarps and compatibility with manual wind-up units.;
SE872;Driveshaft End Yoke;Drivetrain, Driveshaft;90.00;15;End yoke that joins the universal joint to the driveshaft, engineered to match original equipment performance. Ensures proper driveline alignment and efficient torque transfer.;
IGN-CYL-KEY;Ignition Lock Cylinder & Key;Electrical, Locking Systems;20.00;30;Mechanical ignition lock cylinder and key assembly mounted inside the ignition switch. It provides a secure point for inserting the key to start the engine;
CABLE-KNOB;Control Cable Knob;Control Systems, Hardware;2.10;40;Knob for a push-pull control cable. Push-pull cables transmit motion and force in both directions, enabling remote operation of mechanical processes from the cab.;
HINGE-ROLLER;Weld-On Roller Bearing Hinge;Hardware, Body Equipment;5.50;35;Weld-on hinge with sealed roller bearings and a nylon locking nut. The pivot hinge allows a 220° swing range and provides smooth, long-lasting operation for tailgates and access panels.;
FITTING-HOSE;"Hydraulic Hose Fitting 3/8""";Hydraulic System, Hardware;3.00;50;3/8-inch hydraulic hose fitting used to connect hoses, pipes and tubes to hydraulic systems. It maintains a secure seal, preserves pressure and helps reduce torque on the hose for reliable fluid transfer.;
PISTON-CUP-2;Piston Cup Seal;Hydraulic System, Seals;5.50;20;Cup-shaped seal used in hydraulic and pneumatic cylinders. It prevents leakage and contamination, maintains pressure and is commonly found in manufacturing equipment, construction machinery and marine systems.;
SLIP-YOKE-1;Driveshaft Slip Yoke;Drivetrain, Driveshaft;50.00;10;Slip yoke that accommodates driveline length changes as the suspension moves. It transmits torque while allowing axial movement, absorbing shock loads and maintaining alignment to reduce wear.;
CASTLE-NUT-1;"Castle Nut 1/2""";Hardware, Fasteners;2.50;80;Locking nut with a castellated top and notches for a cotter pin. Used in critical assemblies where a secure, positive lock is required, such as automotive and aerospace joints.;
HITCH-PIN-5/8;"Hitch Pin with Cotter Clip 5/8""";Towing, Hardware;3.00;40;5/8-inch hitch pin and cotter clip that slides through the receiver and ball mount to secure towing equipment. Matching the receiver size and hitch class is essential for safe towing.;
THRUST-BEARING-1;Ball Thrust Bearing;Drivetrain, Bearings;12.00;25;Thrust bearing designed to support axial loads along the shaft. It distributes the load evenly, allows smooth rotation and reduces friction in automotive and industrial applications.;
BEARING-CUP-3;Tapered Roller Bearing Cup (Small);Drivetrain, Bearings;12.50;35;Compact tapered roller bearing cup providing the outer raceway for rollers. It helps the bearing assembly handle combined loads and ensures smooth, low-friction rotation.;
NYL-3/4-10;"Nyloc Nut 3/4""-10";Hardware, Fasteners;5.50;90;Medium-size nylon lock nut with a nylon insert that deforms to lock against bolt threads. Provides reliable vibration resistance and should be replaced after removal.;
EPDM15;"EPDM Rubber Tarp Strap 15""";Body Equipment, Hardware;1.25;220;15-inch EPDM strap with S-hooks for securing lightweight tarps. Its ozone-resistant compound withstands weathering, making it suitable for prolonged outdoor use.;
SPROCKET-60;#60 Chain Sprocket;Drivetrain, Transmission;30.00;15;Robust sprocket designed for #60 chains. Positive chain engagement ensures accurate power transmission between shafts without slippage.;
GEAR-SPUR-30T;Spur Gear 30-Tooth;Drivetrain, Transmission;20.00;20;30-tooth spur gear that transmits motion between parallel shafts. The straight tooth profile makes it economical and eliminates axial thrust in gear trains.;
GEAR-HEL-40T;Helical Gear 40-Tooth;Drivetrain, Transmission;24.00;18;40-tooth helical gear with angled teeth that provide smoother, quieter operation and higher load capacity than spur gears, though axial thrust must be managed.;
RETAIN-RING-SNAP;Snap Ring;Hardware, Fasteners;1.20;150;Snap-style retaining ring that fits into a groove on a shaft or bore to form a shoulder. It holds components in place and dampens vibration where other fastening methods are impractical.;
PISTON-CUP-HEAVY;Heavy-Duty Piston Cup Seal;Hydraulic System, Seals;6.50;15;Heavy-duty piston cup seal designed for high-pressure hydraulic and pneumatic systems. It prevents fluid leakage and contamination, maintaining pressure in construction and marine equipment.;
